,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,Accuracy,Precision,Recall
10087,890,sqrt,2,2,12,0.9,0.923076923076923,0.9
10088,890,sqrt,2,2,13,0.9,0.923076923076923,0.9
10089,890,sqrt,2,2,14,0.9,0.923076923076923,0.9
10090,890,sqrt,2,2,15,0.8666666666666667,0.9047619047619048,0.8666666666666667
10091,890,sqrt,2,2,16,0.8666666666666667,0.9047619047619048,0.8666666666666667
10092,890,sqrt,2,2,17,0.9333333333333333,0.9444444444444445,0.9333333333333332
10093,890,sqrt,2,2,18,0.9333333333333333,0.9444444444444445,0.9333333333333332
10094,890,sqrt,2,2,19,0.9,0.923076923076923,0.9
10095,890,sqrt,2,2,20,0.9,0.923076923076923,0.9
10096,890,sqrt,2,5,5,0.9666666666666667,0.9696969696969697,0.9666666666666667
10097,890,sqrt,2,5,6,0.9,0.923076923076923,0.9
10098,890,sqrt,2,5,7,0.8666666666666667,0.9047619047619048,0.8666666666666667
10099,890,sqrt,2,5,8,0.9333333333333333,0.9444444444444445,0.9333333333333332
10100,890,sqrt,2,5,9,0.9333333333333333,0.9444444444444445,0.9333333333333332
10101,890,sqrt,2,5,10,0.9,0.923076923076923,0.9
10102,890,sqrt,2,5,11,0.9666666666666667,0.9696969696969697,0.9666666666666667
10103,890,sqrt,2,5,12,0.9,0.923076923076923,0.9
10104,890,sqrt,2,5,13,0.9333333333333333,0.9444444444444445,0.9333333333333332
10105,890,sqrt,2,5,14,0.9,0.923076923076923,0.9
10106,890,sqrt,2,5,15,0.9,0.923076923076923,0.9
10107,890,sqrt,2,5,16,0.9333333333333333,0.9444444444444445,0.9333333333333332
10108,890,sqrt,2,5,17,0.9,0.923076923076923,0.9
10109,890,sqrt,2,5,18,0.9666666666666667,0.9696969696969697,0.9666666666666667
10110,890,sqrt,2,5,19,0.8666666666666667,0.9047619047619048,0.8666666666666667
10111,890,sqrt,2,5,20,0.9,0.923076923076923,0.9
10112,890,sqrt,2,8,5,0.9,0.923076923076923,0.9
10113,890,sqrt,2,8,6,0.9,0.923076923076923,0.9
10114,890,sqrt,2,8,7,0.9,0.923076923076923,0.9
10115,890,sqrt,2,8,8,0.9,0.923076923076923,0.9
10116,890,sqrt,2,8,9,0.8666666666666667,0.9047619047619048,0.8666666666666667
10117,890,sqrt,2,8,10,0.9333333333333333,0.9444444444444445,0.9333333333333332
10118,890,sqrt,2,8,11,0.9,0.923076923076923,0.9
10119,890,sqrt,2,8,12,0.9,0.923076923076923,0.9
10120,890,sqrt,2,8,13,0.9,0.923076923076923,0.9
10121,890,sqrt,2,8,14,0.9,0.923076923076923,0.9
10122,890,sqrt,2,8,15,0.8666666666666667,0.9047619047619048,0.8666666666666667
10123,890,sqrt,2,8,16,0.8666666666666667,0.9047619047619048,0.8666666666666667
10124,890,sqrt,2,8,17,0.9333333333333333,0.9444444444444445,0.9333333333333332
10125,890,sqrt,2,8,18,0.9,0.923076923076923,0.9
10126,890,sqrt,2,8,19,0.9,0.923076923076923,0.9
10127,890,sqrt,2,8,20,0.9333333333333333,0.9444444444444445,0.9333333333333332
10128,890,sqrt,2,11,5,0.9333333333333333,0.9444444444444445,0.9333333333333332
10129,890,sqrt,2,11,6,0.9,0.923076923076923,0.9
10130,890,sqrt,2,11,7,0.9333333333333333,0.9444444444444445,0.9333333333333332
10131,890,sqrt,2,11,8,0.9666666666666667,0.9696969696969697,0.9666666666666667
10132,890,sqrt,2,11,9,0.9,0.923076923076923,0.9
10133,890,sqrt,2,11,10,0.9,0.923076923076923,0.9
10134,890,sqrt,2,11,11,0.9,0.923076923076923,0.9
10135,890,sqrt,2,11,12,0.9,0.923076923076923,0.9
10136,890,sqrt,2,11,13,0.9,0.923076923076923,0.9
10137,890,sqrt,2,11,14,0.9666666666666667,0.9696969696969697,0.9666666666666667
10138,890,sqrt,2,11,15,0.9,0.923076923076923,0.9
10139,890,sqrt,2,11,16,0.9333333333333333,0.9444444444444445,0.9333333333333332
10140,890,sqrt,2,11,17,0.9,0.923076923076923,0.9
10141,890,sqrt,2,11,18,0.9333333333333333,0.9444444444444445,0.9333333333333332
10142,890,sqrt,2,11,19,0.9,0.923076923076923,0.9
10143,890,sqrt,2,11,20,0.9,0.923076923076923,0.9
10144,890,sqrt,2,14,5,0.9,0.923076923076923,0.9
10145,890,sqrt,2,14,6,0.9333333333333333,0.9444444444444445,0.9333333333333332
10146,890,sqrt,2,14,7,0.9,0.923076923076923,0.9
10147,890,sqrt,2,14,8,0.9666666666666667,0.9696969696969697,0.9666666666666667
10148,890,sqrt,2,14,9,0.9,0.923076923076923,0.9
10149,890,sqrt,2,14,10,0.9666666666666667,0.9696969696969697,0.9666666666666667
